image_name,latitude,longitude,altitude,roll,pitch,yaw,accuracy horizontal,accuracy vertical
DSC09537.JPG,49.3925928938837302,8.1869534758409461,272.816,0.105,0.336,-177.987,0.02,0.05
DSC09538.JPG,49.3925371002178508,8.1869622200587227,272.818,0.130,0.389,-177.940,0.02,0.05
DSC09539.JPG,49.3924835378137743,8.1869706870222672,272.813,0.152,0.378,-177.965,0.02,0.05
DSC09540.JPG,49.3924291756632314,8.1869795787477440,272.823,0.144,0.382,-177.900,0.02,0.05
DSC09541.JPG,49.3923760615068232,8.1869881098762516,272.827,0.120,0.372,-177.921,0.02,0.05
DSC09542.JPG,49.3923232414833535,8.1869968674919775,272.851,0.157,0.411,-177.794,0.02,0.05
DSC09543.JPG,49.3922702590191065,8.1870060334159973,272.862,0.162,0.351,-178.077,0.02,0.05
DSC09544.JPG,49.3922174233481854,8.1870143206485118,272.870,0.192,0.361,-178.143,0.02,0.05
DSC09545.JPG,49.3921613446464960,8.1870222933793872,272.865,0.191,0.408,-177.920,0.02,0.05
DSC09546.JPG,49.3921044173902857,8.1870300349686396,272.856,0.147,0.358,-179.112,0.02,0.05
DSC09547.JPG,49.3920469434057523,8.1870354087326547,272.853,0.185,0.350,-179.585,0.02,0.05
DSC09548.JPG,49.3919878960813890,8.1870408888445851,272.836,0.208,0.356,-179.653,0.02,0.05
DSC09549.JPG,49.3919288278158390,8.1870462504552393,272.835,0.163,0.335,-179.864,0.02,0.05
DSC09550.JPG,49.3918670873807386,8.1870520377544214,272.855,0.115,0.449,-179.667,0.02,0.05
DSC09551.JPG,49.3918061341409071,8.1870581580783508,272.873,0.141,0.397,-179.358,0.02,0.05
DSC09552.JPG,49.3917417114111643,8.1870642115400756,272.873,-0.002,0.428,179.770,0.02,0.05
DSC09553.JPG,49.3916766735431239,8.1870696990262584,272.851,-0.010,0.502,-179.934,0.02,0.05
DSC09554.JPG,49.3916123853693847,8.1870755622048517,272.867,0.027,0.483,178.270,0.02,0.05
